time1,3  .*  Cit_AU_theta1_Mean,3  .*  Cit_AU_theta1_Std,time2,3  .*  Cit_AU_theta2_Mean,3  .*  Cit_AU_theta2_Std,time3,3  .*  Cit_AU_theta3_Mean,3  .*  Cit_AU_theta3_Std
1320.0,33750.01217196518,3387.8697696590375,1320.0,32519.672357738364,3264.141424292617,1320.0,37902.76592435051,3776.7103373371174
1330.0,38191.46004535611,3387.869769779248,1330.0,34661.07147565401,3264.1414244665607,1330.0,33276.13386286586,3776.7103373743275
1340.0,31974.296416238056,3387.8697698830724,1340.0,40375.2096895449,3264.1414246370564,1340.0,41256.43656059885,3776.7103374254834
1350.0,34306.86759251776,3387.869769961254,1350.0,30815.581886646105,3264.141424794139,1350.0,30406.815821917975,3776.710337463241
1360.0,27560.25809279509,3387.8697700302214,1360.0,34655.570106315216,3264.1414249263216,1360.0,36871.05401755732,3776.7103374843596
1370.0,26877.986805645916,3387.869770090293,1370.0,30905.295248442224,3264.1414250205985,1370.0,31912.11198371691,3776.710337505565
1380.0,30257.82608511766,3387.869770132599,1380.0,33163.85597666357,3264.141425062446,1380.0,39053.71020325143,3776.7103375265906
1390.0,36919.1092003301,3387.869770157764,1390.0,36202.17108147897,3264.1414250358184,1390.0,38924.449615838865,3776.7103375471725
1400.0,30296.440546412858,3387.8697701678607,1400.0,31981.553449375897,3264.1414249231525,1400.0,44886.58022242823,3776.710337567042
1410.0,36822.7350532857,3387.86977016713,1410.0,30666.399939997456,3264.141424709472,1410.0,33945.225204129325,3776.7103375859333
1420.0,33578.814286302804,3387.869770161287,1420.0,31399.915374536533,3264.1414244951056,1420.0,47217.05899078114,3776.7103376035775
1430.0,32042.712398930387,3387.869770154004,1430.0,32852.982223138075,3264.141424300595,1430.0,37338.48080467173,3776.710337619708
